"time","kWh.mean_value","°C.mean_value","°C.mean_value_2","€/kWh.mean_value"
"2022-10-31T00:00:00.000+01:00","541.115","23.55","16.3","0.21445"
"2022-10-31T01:00:00.000+01:00","541.135","23.8","15.6","0.20656"
"2022-10-31T02:00:00.000+01:00","541.155","23.733333333333334","15","0.17392"
"2022-10-31T03:00:00.000+01:00","541.175","23.8","14.8","0.17453"
"2022-10-31T04:00:00.000+01:00","541.195","23.65","15.9","0.17423"
"2022-10-31T05:00:00.000+01:00","541.215","23.65","16.5","0.17944"
"2022-10-31T06:00:00.000+01:00","541.235","23.55","16.9","0.19929"
"2022-10-31T07:00:00.000+01:00","541.25","23.566666666666666","16.3","0.21707"
"2022-10-31T08:00:00.000+01:00",,"23.799999999999997","18.2","0.2487"
"2022-10-31T09:00:00.000+01:00",,"23.65","18.4","0.22568"
"2022-10-31T10:00:00.000+01:00",,"23.5","19.2","0.25641"
"2022-10-31T11:00:00.000+01:00",,,"19.9","0.25554"
"2022-10-31T12:00:00.000+01:00",,,"20.2","0.25526"
"2022-10-31T13:00:00.000+01:00",,"23.433333333333334","23.1","0.25968"
"2022-10-31T14:00:00.000+01:00",,"23.75","23.9","0.22586"
"2022-10-31T15:00:00.000+01:00",,"23.900000000000002","24.5","0.24425"
"2022-10-31T16:00:00.000+01:00",,"23.55","24.3","0.24498"
"2022-10-31T17:00:00.000+01:00",,"23.599999999999998","24.4","0.3156"
"2022-10-31T18:00:00.000+01:00",,"23.55","19.5","0.30708"
"2022-10-31T19:00:00.000+01:00",,"23.6","18","0.30744"
"2022-10-31T20:00:00.000+01:00",,"23.75","15.7","0.35719"
"2022-10-31T21:00:00.000+01:00",,"23.9","15.5","0.37758"
"2022-10-31T22:00:00.000+01:00",,"24","16.1","0.30198"
"2022-10-31T23:00:00.000+01:00",,"24.15","15.2","0.28566"
"2022-11-01T00:00:00.000+01:00",,"23.8","14.9","0.20872"
"2022-11-01T01:00:00.000+01:00",,"23.6","15","0.1938"
"2022-11-01T02:00:00.000+01:00",,"23.55","14.8","0.16898"
"2022-11-01T03:00:00.000+01:00",,"23.4","14.6","0.16923"
"2022-11-01T04:00:00.000+01:00",,"23.35","14.2","0.1677"
"2022-11-01T05:00:00.000+01:00",,"23.2","14.1","0.16307"
"2022-11-01T06:00:00.000+01:00",,"23.1","13.8","0.16578"
"2022-11-01T07:00:00.000+01:00",,"23.1","13.3","0.16347"
"2022-11-01T08:00:00.000+01:00",,"23.166666666666668","13","0.16267"
"2022-11-01T09:00:00.000+01:00",,"23.4","14.1","0.15999"
"2022-11-01T10:00:00.000+01:00",,"23.2","15.2","0.14689"
"2022-11-01T11:00:00.000+01:00",,"23.15","16.5","0.13577"
"2022-11-01T12:00:00.000+01:00",,"23","18.7","0.14031"
"2022-11-01T13:00:00.000+01:00",,"23.1","20","0.13297"
"2022-11-01T14:00:00.000+01:00",,"23.5","21.2","0.13358"
"2022-11-01T15:00:00.000+01:00",,"24.325","20.6","0.14096"
"2022-11-01T16:00:00.000+01:00","541.25","24.825","19.3","0.15892"
"2022-11-01T17:00:00.000+01:00",,"24.299999999999997","17.5","0.19475"
"2022-11-01T18:00:00.000+01:00",,"23.900000000000002","16","0.20905"
"2022-11-01T19:00:00.000+01:00",,"23.65","14.7","0.20918"
"2022-11-01T20:00:00.000+01:00",,"23.45","14.2","0.25116"
"2022-11-01T21:00:00.000+01:00",,"23.55","14","0.25381"
"2022-11-01T22:00:00.000+01:00",,"23.45","13.2","0.2137"
"2022-11-01T23:00:00.000+01:00",,"23.55","12.7","0.19894"
"2022-11-02T00:00:00.000+01:00",,"23.599999999999998","11.6","0.16728"
"2022-11-02T01:00:00.000+01:00",,"23.299999999999997","11","0.16609"
"2022-11-02T02:00:00.000+01:00",,"23.05","10.8","0.16152"
"2022-11-02T03:00:00.000+01:00",,"23","10.6","0.16169"
"2022-11-02T04:00:00.000+01:00",,"22.8","10.8","0.16126"
"2022-11-02T05:00:00.000+01:00",,"22.7","10.3","0.16398"
"2022-11-02T06:00:00.000+01:00",,"22.633333333333336","9.9","0.18271"
"2022-11-02T07:00:00.000+01:00",,"22.45","9.7","0.2065"
"2022-11-02T08:00:00.000+01:00",,"22.55","9.6","0.23975"
"2022-11-02T09:00:00.000+01:00",,"22.65","10.25","0.20827"
"2022-11-02T10:00:00.000+01:00",,"22.4","13.8","0.23766"
"2022-11-02T11:00:00.000+01:00",,"22.299999999999997","16.3","0.22683"
"2022-11-02T12:00:00.000+01:00",,"22.2","18","0.22514"
"2022-11-02T13:00:00.000+01:00",,"22.15","20","0.22273"
"2022-11-02T14:00:00.000+01:00",,"23","21","0.18162"
"2022-11-02T15:00:00.000+01:00",,"23.26666666666667","21.7","0.18224"
"2022-11-02T16:00:00.000+01:00",,"23.066666666666663","21.5","0.20612"
"2022-11-02T17:00:00.000+01:00",,"22.75","18.1","0.25624"
"2022-11-02T18:00:00.000+01:00",,"22.45","16.5","0.31795"
"2022-11-02T19:00:00.000+01:00",,"22.5","15.4","0.3145"
"2022-11-02T20:00:00.000+01:00",,"22.35","13.8","0.32499"
"2022-11-02T21:00:00.000+01:00",,"22.625000000000004","13.2","0.27735"
"2022-11-02T22:00:00.000+01:00",,"22.633333333333336","12.6","0.20276"
"2022-11-02T23:00:00.000+01:00",,"22.7","12.5","0.18787"
"2022-11-03T00:00:00.000+01:00",,"22.633333333333336","14.1","0.16115"
"2022-11-03T01:00:00.000+01:00",,"22.25",,"0.14585"
"2022-11-03T02:00:00.000+01:00",,"22","13.9","0.14026"
"2022-11-03T03:00:00.000+01:00",,"21.9","18","0.13548"
"2022-11-03T04:00:00.000+01:00",,"21.9","20.7","0.13098"
"2022-11-03T05:00:00.000+01:00",,"21.7","17.9","0.13311"
